company,eps_growth,debt_ratio,volume_spike,ceo_sentiment,fraud_risk
Tucker LLC,-0.03,0.61,0.43,0.62,1.0
Gallegos-Norton,-0.023,0.66,0.34,-0.35,0.0
Mclean LLC,0.207,0.51,0.23,-0.39,0.0
Little-Arroyo,0.152,0.34,0.02,-0.19,0.0
"Calderon, Ortega and Ortiz",0.327,0.27,0.07,0.35,0.0
Jones and Sons,0.138,0.13,0.07,0.36,0.0
"Case, Davis and Dean",-0.004,0.34,0.06,-0.37,0.0
"Silva, Harding and Morris",0.139,0.62,0.14,-0.73,0.0
Gould Group,0.216,0.85,0.15,0.26,0.0
Cohen LLC,0.173,0.8,0.09,-0.74,0.0
Evans PLC,0.126,0.71,0.09,0.16,0.0
Colon-Hughes,0.21,0.73,0.35,0.39,0.0
Williams Ltd,0.225,0.63,0.31,0.4,0.0
"Frederick, Rivera and Watson",0.257,0.31,0.07,0.51,0.0
"Chen, Mcgee and Gibbs",0.147,0.83,0.49,0.75,0.0
"Leonard, Hall and Green",0.025,0.64,0.61,-0.0,0.0
Gentry-Bailey,0.072,0.55,0.08,0.46,0.0
Zhang Group,0.231,0.19,0.09,0.24,0.0
Miranda-Bradley,-0.073,0.46,0.14,-0.63,0.0
Mccarthy-Houston,0.105,0.47,0.57,-0.95,0.0
"Wong, Johnson and Nelson",-0.009,0.79,0.42,-0.43,1.0
"Henry, Le and Buckley",0.054,0.54,0.02,-0.11,0.0
Moses LLC,0.242,0.4,0.1,0.23,0.0
Moreno PLC,0.079,0.88,0.16,0.7,0.0
"Elliott, Joyce and Jackson",0.057,0.19,0.14,-0.61,0.0
Allen and Sons,-0.154,0.44,0.04,-0.75,0.0
Kelley-Mccormick,0.162,0.13,0.39,0.93,0.0
Lawson-Drake,0.147,0.69,0.23,-0.78,0.0
"Davidson, Schneider and Boyle",0.374,0.83,0.36,-0.04,0.0
Harrison-Brewer,0.004,0.32,0.39,0.17,0.0
Pham PLC,0.083,0.79,0.28,0.08,0.0
"Alexander, Diaz and Norton",0.087,0.33,0.12,-0.83,0.0
Adkins-Smith,0.287,0.83,0.19,-0.89,0.0
Berger and Sons,0.036,0.7,0.03,-0.79,0.0
Walker-Gomez,0.092,0.74,0.22,0.17,0.0
"Collier, Williams and Rogers",0.141,0.11,0.04,0.09,0.0
"Shaffer, Compton and Woods",0.078,0.87,0.24,-0.53,0.0
Wilson Inc,-0.017,0.68,0.05,0.28,0.0
Scott PLC,0.079,0.34,0.03,0.64,0.0
"Nguyen, Johns and Robles",0.211,0.76,0.04,-0.92,0.0
Meza PLC,-0.104,0.33,0.0,-0.0,0.0
"Gonzalez, Palmer and Perry",0.07,0.8,0.25,0.38,0.0
Richards-Chambers,-0.055,0.19,0.26,-0.5,1.0
Patrick PLC,0.229,0.66,0.14,-0.38,0.0
"Campos, Brown and Ramirez",-0.178,0.53,0.04,0.23,0.0
"Smith, Cruz and Maddox",-0.034,0.18,0.02,0.8,0.0
"Nolan, Ali and Schaefer",0.107,0.29,0.0,0.62,0.0
Travis LLC,0.285,0.11,0.04,0.17,0.0
Berry Inc,0.04,0.48,0.44,0.46,1.0
Dixon and Sons,-0.033,0.34,0.06,-0.27,0.0
Clements-Willis,0.332,0.58,0.09,0.28,0.0
"Fisher, Alvarez and Bowen",-0.167,0.34,0.02,-0.07,0.0
"Flores, Gilbert and Powell",-0.28,0.34,0.05,-0.62,0.0
Flynn-Hall,0.116,0.69,0.15,0.4,0.0
Barker Inc,-0.025,0.14,0.19,0.11,0.0
"Smith, Murphy and Evans",-0.103,0.82,0.06,-0.28,0.0
Hudson LLC,0.156,0.78,0.01,0.82,0.0
Martin-Bass,0.087,0.63,0.1,-0.96,0.0
Jones-Martin,-0.035,0.57,0.05,-0.37,1.0
"Andersen, Lee and Miller",-0.142,0.81,0.05,-0.89,0.0
Grant-Smith,0.181,0.25,0.64,0.53,0.0
"Reed, Cook and Scott",0.148,0.16,0.19,0.4,1.0
"Cox, Wilcox and Alvarez",0.035,0.29,0.16,-0.34,0.0
"Kane, Johnson and Henderson",0.327,0.74,0.11,0.35,0.0
Parker LLC,-0.111,0.13,0.11,-0.21,0.0
"Perez, Sims and Garcia",-0.179,0.57,0.16,0.51,0.0
"Joseph, Miller and Alvarado",-0.054,0.9,0.24,-0.09,0.0
Williams Group,0.043,0.78,0.24,-0.18,0.0
Jefferson and Sons,0.087,0.52,0.04,0.87,0.0
Medina PLC,0.014,0.15,0.14,-0.5,0.0
"Brown, Brown and May",0.103,0.77,0.11,-0.76,0.0
Chambers and Sons,-0.138,0.58,0.41,0.17,0.0
Allen Ltd,0.267,0.19,0.2,0.94,0.0
Clark Inc,0.038,0.18,0.15,-0.24,0.0
"Hughes, Jarvis and Williams",0.218,0.83,0.02,-0.88,0.0
Torres PLC,0.101,0.64,0.19,-0.32,0.0
"Thomas, Weeks and Taylor",0.119,0.76,0.02,0.01,1.0
"Marks, Lane and Clayton",0.135,0.8,0.08,-0.68,0.0
"Small, Burch and Flores",0.117,0.56,0.03,0.32,0.0
White-Douglas,0.146,0.51,0.24,1.0,1.0
Johnson-Pena,0.249,0.44,0.05,-0.1,0.0
"Vasquez, Torres and Ortiz",0.079,0.35,0.1,-0.29,0.0
Rubio Inc,0.156,0.45,0.45,-0.2,0.0
"Rodriguez, Adams and White",0.037,0.72,0.05,-0.77,0.0
Fisher Inc,0.266,0.58,0.14,0.77,0.0
"Deleon, Smith and Hodge",-0.051,0.81,0.11,-0.17,0.0
"Winters, Knight and Perez",0.32,0.45,0.0,-0.23,1.0
Williams-Fisher,0.044,0.59,0.31,0.32,0.0
Richardson and Sons,-0.165,0.61,0.01,-0.12,0.0
Young-Carlson,0.069,0.57,0.13,0.3,0.0
Flores LLC,-0.052,0.66,0.16,-0.88,0.0
Moore-Garcia,0.176,0.29,0.2,0.63,0.0
"Farmer, Williams and Carroll",-0.048,0.51,0.23,0.88,0.0
Henderson and Sons,-0.017,0.18,0.06,0.3,0.0
Stevenson-Hernandez,-0.233,0.41,0.0,0.91,0.0
Wilcox-Cohen,-0.018,0.49,0.26,-0.7,0.0
Kennedy-Palmer,-0.314,0.62,0.15,-0.05,0.0
"Serrano, Hardin and Hardin",-0.188,0.86,0.36,0.2,0.0
Lewis-Schmitt,0.164,0.58,0.34,0.16,0.0
Jones-Rodriguez,0.168,0.69,0.37,-0.2,0.0
Jones PLC,0.114,0.51,0.13,-0.32,0.0
"White, Dyer and Burns",-0.095,0.61,0.08,-0.75,0.0
King-Carter,0.043,0.16,0.31,-0.22,0.0
"Lopez, Dennis and Archer",0.049,0.3,0.12,-0.67,0.0
Jones-Berger,-0.124,0.39,0.04,0.47,0.0
Sanchez-Duran,0.276,0.48,0.39,-0.58,0.0
Becker Group,0.182,0.14,0.43,-0.88,0.0
Lee PLC,0.017,0.21,0.13,0.1,0.0
George Group,0.054,0.32,0.02,0.19,0.0
"Jones, Rush and Jones",0.081,0.88,0.1,0.74,0.0
"Payne, Humphrey and Davis",-0.256,0.37,0.33,0.15,1.0
Anderson-Smith,0.013,0.49,0.46,-0.31,1.0
"Perry, Gibson and Wheeler",-0.052,0.26,0.05,0.61,0.0
"Hayes, Arellano and Williams",-0.1,0.59,0.01,0.08,0.0
"Anderson, Wagner and Rose",0.008,0.32,0.42,-0.84,0.0
Adams-Cooper,0.32,0.27,0.1,0.13,1.0
Smith-Barnes,0.146,0.51,0.16,0.82,1.0
Charles-Dominguez,-0.036,0.1,0.69,-0.21,0.0
Sims Inc,0.136,0.11,0.01,-0.41,0.0
